"Zone ID","hhd"
"E02000873",8156
"E02000874",7083
"E02000875",13550
"E02000876",6869
"E02000877",13773
"E02000878",9506
"E02000879",8305
"E02000880",6228
"E02000881",10823
"E02000882",11349
"E02000883",9180
"E02000884",12123
"E02000885",6651
"E02000886",9541
"E02000887",10706
"E02000888",8529
"E02000889",8552
"E02000890",5815
"E02000893",7409
"E02000894",11006
"E02000895",8341
"E02000896",9241
"E02000897",8489
"E02000898",7982
"E02000899",8778
"E02000900",8946
"E02000901",10438
"E02000902",9958
"E02000903",10274
"E02000904",8414
"E02000905",10469
"E02000906",9653
"E02000907",10403
"E02000908",12563
"E02000909",9206
"E02000910",11368
"E02000911",12915
"E02000912",9678
"E02000913",9624
"E02000914",11511
"E02000915",8011
"E02000916",10560
"E02000917",9547
"E02000918",9238
"E02000919",9224
"E02000920",10273
"E02000921",11163
"E02000922",10421
"E02000923",7387
"E02000925",7865
"E02000926",11574
"E02000927",7098
"E02000928",8343
"E02000929",8101
"E02000930",9727
"E02000931",8815
"E02000932",12842
"E02000933",8864
"E02000934",8879
"E02000935",6240
"E02000936",9325
"E02000937",8160
"E02000938",10644
"E02000939",7675
"E02000940",9323
"E02000941",10159
"E02000942",9677
"E02000943",8721
"E02000944",7349
"E02000945",7542
"E02000946",7659
"E02000947",9339
"E02000948",9938
"E02000949",9870
"E02000950",7553
"E02000951",6364
"E02000952",6141
"E02000953",7144
"E02000954",6100
"E02000955",6889
"E02000956",7412
"E02000957",10829
"E02000958",8021
"E02000959",7838
"E02000960",6149
"E02000961",9814
"E02000962",7703
"E02000963",10517
"E02000964",12140
"E02000965",7854
"E02000966",9245
"E02000967",5942
"E02000968",14400
"E02000969",9347
"E02000970",6828
"E02000971",7271
"E02000972",7588
"E02000973",9892
"E02000974",8355
"E02000975",7162
"E02000976",8182
"E02000977",5758
"E02000978",6167
"E02000979",7485
"E02000980",8694
"E02000981",8162
"E02000982",7626
"E02000983",7663
"E02000984",7677
"E02000985",7417
"E02000986",8358
"E02000987",7193
"E02000988",8940
"E02000989",8350
"E02000990",8345
"E02000991",7794
"E02000992",6264
"E02000993",8434
"E02000994",9047
"E02000995",8281
"E02000996",8427
"E02000997",6367
"E02000998",10367
"E02000999",8031
"E02001000",8989
"E02001001",8662
"E02001002",9728
"E02001003",7319
"E02001004",9342
"E02001005",9665
"E02001006",8435
"E02001007",10050
"E02001008",9079
"E02001009",7477
"E02001010",6468
"E02001011",9747
"E02001012",9798
"E02001013",6067
"E02001014",8425
"E02001015",8027
"E02001016",8705
"E02001017",10767
"E02001018",7662
"E02001019",8857
"E02001020",5892
"E02001021",7352
"E02001022",7905
"E02001023",5682
"E02001024",8005
"E02001025",8073
"E02001026",11269
"E02001027",7112
"E02001028",7295
"E02001029",7709
"E02001030",6156
"E02001031",6875
"E02001032",7588
"E02001033",6176
"E02001034",8542
"E02001035",7218
"E02001036",7482
"E02001037",7111
"E02001038",5666
"E02001039",8602
"E02001040",6193
"E02001041",7661
"E02001042",6538
"E02001043",5551
"E02001044",9533
"E02001045",8419
"E02001046",11155
"E02001047",10389
"E02001048",9389
"E02001049",10397
"E02001050",8268
"E02001051",9218
"E02001052",14885
"E02001053",11852
"E02001055",9434
"E02001056",8868
"E02001059",11741
"E02001061",10933
"E02001062",9241
"E02001063",7690
"E02001064",10635
"E02001065",9467
"E02001066",9943
"E02001067",11548
"E02001068",11878
"E02001069",11944
"E02001070",9130
"E02001072",8809
"E02001073",9229
"E02001074",11528
"E02001075",9110
"E02001076",8951
"E02001077",7426
"E02001078",10662
"E02001079",9434
"E02001080",9715
"E02001081",6306
"E02001082",6601
"E02001083",8168
"E02001084",8571
"E02001085",8970
"E02001086",6677
"E02001087",9247
"E02001088",9037
"E02001089",8030
"E02001090",6960
"E02001091",8378
"E02001092",9227
"E02001093",9711
"E02001094",9987
"E02001095",9003
"E02001096",8021
"E02001097",8499
"E02001098",5938
"E02001099",5676
"E02001100",5903
"E02001101",5674
"E02001102",6030
"E02001103",5497
"E02001104",7243
"E02001105",5933
"E02001106",5952
"E02001107",6919
"E02001108",5880
"E02001109",7667
"E02001110",6421
"E02001111",9074
"E02001112",5992
"E02001113",9412
"E02001114",8762
"E02001115",5928
"E02001116",7872
"E02001117",5995
"E02001118",6046
"E02001119",12102
"E02001121",8644
"E02001123",7039
"E02001124",6876
"E02001125",7880
"E02001126",9125
"E02001127",7753
"E02001128",7448
"E02001129",6693
"E02001130",5784
"E02001131",5458
"E02001132",6565
"E02001133",6593
"E02001134",6211
"E02001135",8335
"E02001136",9083
"E02001137",6195
"E02001138",8554
"E02001139",10348
"E02001140",8063
"E02001141",11945
"E02001142",5946
"E02001143",11583
"E02001144",6294
"E02001145",7022
"E02001146",10178
"E02001147",10349
"E02001148",10307
"E02001149",10321
"E02001150",8897
"E02001151",10004
"E02001152",9737
"E02001153",12244
"E02001154",10085
"E02001155",7126
"E02001156",9903
"E02001157",8659
"E02001158",6035
"E02001159",7494
"E02001160",7264
"E02001161",5843
"E02001162",5800
"E02001163",9883
"E02001164",6777
"E02001165",6168
"E02001166",8171
"E02001167",6902
"E02001168",9802
"E02001169",10865
"E02001170",9806
"E02001171",6140
"E02001173",8711
"E02001174",5625
"E02001175",7498
"E02001176",11613
"E02001177",13173
"E02001179",6975
"E02001180",5191
"E02001181",5958
"E02001182",7257
"E02001183",7267
"E02001185",9650
"E02001186",10557
"E02001187",7000
"E02001188",8647
"E02001189",8275
"E02001190",7780
"E02001191",5710
"E02001192",6455
"E02001193",6377
"E02001194",6340
"E02001195",7473
"E02001196",7751
"E02001197",6273
"E02001198",7405
"E02001199",7901
"E02001200",7798
"E02001201",5773
"E02001202",6419
"E02001203",5848
"E02001204",8856
"E02001205",8416
"E02001206",7161
"E02001207",6827
"E02001208",7499
"E02001209",7708
"E02001210",7385
"E02001211",6593
"E02001212",6926
"E02001213",9783
"E02001214",7999
"E02001215",5903
"E02001216",7841
"E02001217",6704
"E02001218",5949
"E02001219",5278
"E02001220",5675
"E02001221",5813
"E02001222",6401
"E02001223",6596
"E02001224",5697
"E02001225",7373
"E02001226",7108
"E02001227",5674
"E02001228",6167
"E02001229",10241
"E02001230",5871
"E02001231",7101
"E02001232",8621
"E02001233",7887
"E02001234",7852
"E02001235",7159
"E02001236",6022
"E02001237",7146
"E02001238",7986
"E02001239",9504
"E02001240",6383
"E02001241",11174
"E02001242",7002
"E02001243",8224
"E02001244",5409
"E02001245",7951
"E02001246",7310
"E02001247",7369
"E02001248",11981
"E02001249",6371
"E02001250",6433
"E02001251",6066
"E02001252",7540
"E02001253",4982
"E02001254",5621
"E02001255",7679
"E02001256",10359
"E02001257",9068
"E02001258",7374
"E02001259",11656
"E02001260",7569
"E02001261",8874
"E02001262",8649
"E02001263",8282
"E02001264",8655
"E02001265",8146
"E02001266",6907
"E02001267",7122
"E02001268",6954
"E02001269",8346
"E02001270",8454
"E02001271",6644
"E02001272",7992
"E02001273",9453
"E02001274",7937
"E02001275",8116
"E02001276",8105
"E02001277",9341
"E02001278",8625
"E02001279",8253
"E02001280",8341
"E02001281",7737
"E02001282",10060
"E02001283",9441
"E02001284",8153
"E02001285",7644
"E02001286",8214
"E02001287",6630
"E02001288",8285
"E02001289",10174
"E02001290",6078
"E02001291",7809
"E02001292",7994
"E02001293",6214
"E02001294",7913
"E02001295",7128
"E02001296",8964
"E02001297",6552
"E02001298",8087
"E02001299",8611
"E02001300",7793
"E02001301",8885
"E02001302",7895
"E02001303",8974
"E02001304",12763
"E02001305",8492
"E02001306",7149
"E02001307",11653
"E02001308",5912
"E02001309",8261
"E02001310",9151
"E02001311",8192
"E02001312",8184
"E02001313",8090
"E02001314",8008
"E02001315",9440
"E02001316",7321
"E02001317",8806
"E02001318",7830
"E02001319",8200
"E02001320",7362
"E02001321",7955
"E02001322",7086
"E02001323",7705
"E02001324",8234
"E02001325",8907
"E02001326",8163
"E02001327",9422
"E02001328",10525
"E02001329",7430
"E02001330",9054
"E02001331",10128
"E02001332",7541
"E02001333",9380
"E02001334",6595
"E02001335",8161
"E02001336",6922
"E02001337",5806
"E02001338",6100
"E02001339",6402
"E02001340",9719
"E02001341",7422
"E02001342",7653
"E02001343",7211
"E02001344",5362
"E02001345",5402
"E02001346",7451
"E02001347",7994
"E02001348",6644
"E02001349",7422
"E02001350",7902
"E02001351",8298
"E02001352",6438
"E02001353",7226
"E02001354",7915
"E02001355",6344
"E02001356",9174
"E02001357",7157
"E02001358",6936
"E02001359",5512
"E02001360",8780
"E02001361",7276
"E02001362",7548
"E02001363",7892
"E02001364",6134
"E02001365",9176
"E02001366",8741
"E02001367",9637
"E02001368",7112
"E02001369",7601
"E02001370",7057
"E02001371",7490
"E02001372",5898
"E02001373",8855
"E02001374",8498
"E02001375",6851
"E02001376",9294
"E02001377",8743
"E02001378",7272
"E02001380",7546
"E02001381",9832
"E02001382",6902
"E02001383",7656
"E02001384",10800
"E02001385",9007
"E02001386",8177
"E02001387",7737
"E02001388",7010
"E02001389",6511
"E02001390",9592
"E02001391",5885
"E02001392",6326
"E02001393",7101
"E02001394",8370
"E02001395",5944
"E02001396",7615
"E02001397",7148
"E02001398",7059
"E02001399",7021
"E02001400",6788
"E02001401",7989
"E02001402",8919
"E02001403",6440
"E02001404",7827
"E02001405",9861
"E02001406",7807
"E02001407",5795
"E02001408",5439
"E02001409",10272
"E02001410",5728
"E02001411",5719
"E02001412",8999
"E02001413",9250
"E02001414",5541
"E02001415",6889
"E02001416",6374
"E02001417",7216
"E02001418",6563
"E02001419",7553
"E02001420",11806
"E02001421",10484
"E02001422",6626
"E02001423",6549
"E02001425",10611
"E02001426",5348
"E02001427",10850
"E02001428",5469
"E02001429",6681
"E02001430",6774
"E02001431",7049
"E02001432",8932
"E02001433",7449
"E02001434",7253
"E02001435",8742
"E02001436",9571
"E02001437",8848
"E02001438",7189
"E02001439",6557
"E02001440",6020
"E02001441",6189
"E02001442",5960
"E02001443",5595
"E02001444",5553
"E02001445",6805
"E02001446",7114
"E02001447",5974
"E02001448",6706
"E02001449",9233
"E02001450",8274
"E02001451",5881
"E02001452",6234
