"Var1","shannon","SMS"
"E02000085",0.506722638731111,"SexbyAge"
"E02000086",0.550927354953194,"SexbyAge"
"E02000087",0.513410753446694,"SexbyAge"
"E02000088",0.526082919393324,"SexbyAge"
"E02000089",0.524870666399635,"SexbyAge"
"E02000090",0.457883533054129,"SexbyAge"
"E02000091",0.44718462555158,"SexbyAge"
"E02000092",0.55575953554333,"SexbyAge"
"E02000093",0.387714474636347,"SexbyAge"
"E02000094",0.404935277942014,"SexbyAge"
"E02000095",0.421387497583994,"SexbyAge"
"E02000096",0.526899755075217,"SexbyAge"
"E02000097",0.442859149597417,"SexbyAge"
"E02000098",0.469028747879617,"SexbyAge"
"E02000099",0.414115712533162,"SexbyAge"
"E02000100",0.506963164524418,"SexbyAge"
"E02000101",0.435627069446518,"SexbyAge"
"E02000102",0.467257602749509,"SexbyAge"
"E02000103",0.432288658658344,"SexbyAge"
"E02000104",0.514352250300758,"SexbyAge"
"E02000105",0.42229364989055,"SexbyAge"
"E02000106",0.411914986707801,"SexbyAge"
"E02000107",0.396404582462793,"SexbyAge"
"E02000108",0.505358874966776,"SexbyAge"
"E02000110",0.474262842018305,"SexbyAge"
"E02000111",0.387082330783513,"SexbyAge"
"E02000112",0.371962847086517,"SexbyAge"
"E02000113",0.423521752766909,"SexbyAge"
"E02000114",0.432341372447777,"SexbyAge"
"E02000115",0.450119222997877,"SexbyAge"
"E02000116",0.453056584006312,"SexbyAge"
"E02000117",0.358977021572215,"SexbyAge"
"E02000118",0.383205072086036,"SexbyAge"
"E02000119",0.392298260629355,"SexbyAge"
"E02000120",0.428731995859018,"SexbyAge"
"E02000121",0.352454675576982,"SexbyAge"
"E02000122",0.489938575993134,"SexbyAge"
"E02000123",0.34298070680898,"SexbyAge"
"E02000124",0.420419397172609,"SexbyAge"
"E02000125",0.435486197068693,"SexbyAge"
"E02000126",0.4619137221707,"SexbyAge"
"E02000127",0.456192813697823,"SexbyAge"
"E02000128",0.531991246482614,"SexbyAge"
"E02000130",0.478391328488594,"SexbyAge"
"E02000131",0.375965476630686,"SexbyAge"
"E02000132",0.427825013229812,"SexbyAge"
"E02000133",0.440477497510337,"SexbyAge"
"E02000134",0.395185227609439,"SexbyAge"
"E02000135",0.428255906227134,"SexbyAge"
"E02000136",0.600847879779979,"SexbyAge"
"E02000137",0.506345414770259,"SexbyAge"
"E02000138",0.503310573061445,"SexbyAge"
"E02000139",0.510131616620763,"SexbyAge"
"E02000140",0.462485372123682,"SexbyAge"
"E02000141",0.52383550410248,"SexbyAge"
"E02000142",0.484502877983111,"SexbyAge"
"E02000144",0.434054418410722,"SexbyAge"
"E02000145",0.472876935636337,"SexbyAge"
"E02000146",0.454281240338151,"SexbyAge"
"E02000147",0.523336681770832,"SexbyAge"
"E02000148",0.571097866094142,"SexbyAge"
"E02000149",0.500347351678268,"SexbyAge"
"E02000150",0.499755564098689,"SexbyAge"
"E02000151",0.54450933130036,"SexbyAge"
"E02000152",0.503709949594555,"SexbyAge"
"E02000153",0.512182709493422,"SexbyAge"
"E02000154",0.48965300862002,"SexbyAge"
"E02000155",0.549775866809804,"SexbyAge"
