"Zone ID","verygood","good","fair","bad","verybad"
"E02000460",3727,2465,775,235,85
"E02000461",3502,2074,595,155,48
"E02000462",3417,2439,832,227,65
"E02000463",4254,3074,993,294,79
"E02000464",3783,2475,951,341,114
"E02000465",4499,3181,1177,365,123
"E02000466",4216,3110,1122,345,108
"E02000467",5557,3726,1444,550,169
"E02000468",4157,2997,1061,281,86
"E02000469",3430,2454,936,313,81
"E02000470",4903,3378,1057,284,101
"E02000471",3968,2658,868,257,66
"E02000472",4662,3321,1071,316,70
"E02000473",5527,3498,1075,263,86
"E02000474",4484,3145,1094,304,109
"E02000475",5001,3161,979,262,83
"E02000476",4653,3101,1107,326,82
"E02000477",4841,3323,1029,250,82
"E02000478",3114,1971,620,179,46
"E02000479",4798,3150,1041,293,97
"E02000480",7278,4481,1375,430,111
"E02000481",4125,2680,1013,275,79
"E02000482",3549,2161,652,166,39
"E02000483",3937,2690,984,288,75
"E02000484",4207,2939,982,256,97
"E02000485",4328,2929,892,262,66
"E02000486",3499,2590,915,238,58
"E02000487",4209,2577,781,190,63
"E02000488",3876,2630,792,200,48
"E02000489",4060,3129,1076,295,75
"E02000490",4142,2921,1013,304,89
"E02000491",5287,3591,1218,396,104
"E02000492",3220,2461,822,229,70
"E02000493",3354,2281,804,231,66
"E02000494",4044,2668,804,242,75
"E02000495",5227,3618,1125,310,94
"E02000496",3766,2609,934,253,92
"E02000497",4978,3066,987,320,92
"E02000498",3285,2111,720,202,59
"E02000499",3944,2663,849,208,63
"E02000500",4335,2824,852,169,58
"E02000501",4414,2895,838,200,72
"E02000502",4855,2905,843,198,73
"E02000503",4636,2993,803,204,52
"E02000504",4193,2531,692,179,48
"E02000506",4046,2731,868,185,65
"E02000507",4205,2839,852,228,70
"E02000508",5850,3266,1006,270,77
"E02000509",4342,2840,928,293,77
"E02000510",4522,3086,926,295,89
"E02000511",5047,3396,1069,277,75
"E02000512",4385,2864,1125,324,102
"E02000513",5213,3156,964,312,115
"E02000514",5399,3721,1148,301,97
"E02000515",6716,4589,1432,421,134
"E02000516",4292,3000,983,271,83
"E02000517",5142,3449,1243,366,132
"E02000518",4883,3132,1155,358,98
"E02000519",4517,3287,1217,397,132
"E02000520",7199,4800,1436,422,106
"E02000521",6750,4421,1362,441,120
"E02000522",4690,3279,1085,317,99
"E02000523",5832,3953,1177,290,97
"E02000524",3751,2516,796,219,53
"E02000525",5169,3513,972,284,107
"E02000526",5245,2407,591,162,52
"E02000529",4685,3512,1085,346,86
"E02000530",4076,2680,960,298,97
"E02000531",6199,3698,1129,368,115
"E02000532",5089,2755,783,260,88
"E02000533",4971,2444,693,216,81
"E02000534",4598,2836,772,199,52
"E02000535",4959,3421,1182,353,127
"E02000536",5143,3935,1175,356,101
"E02000537",5124,3382,977,246,76
"E02000538",4925,3643,1151,293,90
"E02000539",6526,3992,1120,382,122
"E02000540",6278,4093,1290,338,102
"E02000541",5099,3836,1149,365,130
"E02000542",6206,4105,1323,398,122
"E02000543",7397,4794,1302,364,110
"E02000544",4365,2952,927,234,79
"E02000545",5033,2777,934,323,115
"E02000546",5023,3727,1063,354,100
"E02000547",5523,3641,1340,363,127
"E02000548",5259,3561,1227,376,102
"E02000549",6026,4373,1372,342,111
"E02000550",5619,3583,1088,316,103
"E02000551",4776,3266,1154,391,139
"E02000552",4744,3023,933,256,57
"E02000553",3549,2349,889,242,78
"E02000554",4671,2847,1102,524,158
"E02000555",5082,2944,971,381,117
"E02000556",5968,3376,1109,447,146
"E02000557",4679,2534,1002,354,139
"E02000558",4802,2691,1127,487,194
"E02000559",5839,2587,774,254,122
"E02000560",3896,2288,728,240,87
"E02000561",4162,2064,637,241,80
"E02000562",4328,2228,796,289,91
"E02000563",4299,2684,1008,433,153
"E02000564",6747,3625,1087,379,132
"E02000565",4617,2449,815,341,118
"E02000566",5196,2250,710,268,121
"E02000567",5718,2968,1065,503,168
"E02000568",5543,2920,1287,485,192
"E02000569",5367,2876,1084,447,151
"E02000570",4932,2359,660,249,71
"E02000571",4956,2501,909,385,135
"E02000572",4317,2645,1064,437,136
"E02000573",6122,2613,896,347,115
"E02000574",3868,2076,696,351,108
"E02000575",5726,2971,1072,404,134
"E02000576",5472,3138,1066,450,161
"E02000577",3589,2289,1021,372,184
"E02000578",2773,1797,799,331,123
"E02000579",4933,2508,1035,368,107
"E02000580",3973,2344,964,469,143
"E02000581",3556,2028,1161,506,140
"E02000582",3969,1609,462,126,60
"E02000583",4116,1609,505,155,42
"E02000584",4730,1800,459,143,27
"E02000585",5075,2011,645,207,77
"E02000586",4275,1657,372,77,17
"E02000587",4289,1630,407,109,35
"E02000588",4082,1456,347,75,22
"E02000589",4554,1809,434,139,39
"E02000590",3426,1589,601,222,91
"E02000591",3469,1724,576,237,78
"E02000592",3929,1300,278,75,24
"E02000593",4637,1814,571,208,59
"E02000594",3794,1711,464,179,55
"E02000595",3801,1527,496,171,65
"E02000596",4293,1543,383,142,38
"E02000597",3290,1790,790,342,126
"E02000598",4845,2366,674,160,48
"E02000599",3879,2027,597,136,53
"E02000600",4811,2517,746,162,60
"E02000601",7275,3388,907,252,80
